,state_code,state_name,district_name,district_code,Dist2011,num_blocks
177,14,JAMMU AND KASHMIR,RAMBAN,1416,17,4
178,14,JAMMU AND KASHMIR,REASI,1417,20,4
179,14,JAMMU AND KASHMIR,SAMBA,1418,22,4
180,14,JAMMU AND KASHMIR,SHOPIAN,1422,13,2
181,14,JAMMU AND KASHMIR,SRINAGAR,1403,10,1
182,14,JAMMU AND KASHMIR,UDHAMPUR,1410,19,7
183,15,KARNATAKA,BAGALKOTE,1501,556,6
184,15,KARNATAKA,BANGALORE RURAL,1503,583,4
185,15,KARNATAKA,BELGAUM,1504,555,10
186,15,KARNATAKA,BELLARY,1505,565,7
187,15,KARNATAKA,BIDAR,1506,558,5
188,15,KARNATAKA,BIJAPUR,1507,557,5
189,15,KARNATAKA,CHAMARAJA NAGARA,1508,578,4
190,15,KARNATAKA,CHIKKABALLAPURA,1528,582,6
191,15,KARNATAKA,CHIKMAGALUR,1509,570,7
192,15,KARNATAKA,CHITRADURGA,1510,566,6
193,15,KARNATAKA,DAKSHINA KANNADA,1511,575,5
194,15,KARNATAKA,DAVANAGERE,1512,567,6
195,15,KARNATAKA,DHARWAR,1513,562,5
196,15,KARNATAKA,GADAG,1514,561,5
197,15,KARNATAKA,GULBARGA,1515,579,7
198,15,KARNATAKA,HASSAN,1516,574,8
199,15,KARNATAKA,HAVERI,1517,564,7
200,15,KARNATAKA,KODAGU,1518,576,3
201,15,KARNATAKA,KOLAR,1519,581,5
202,15,KARNATAKA,KOPPAL,1520,560,4
203,15,KARNATAKA,MANDYA,1521,573,7
204,15,KARNATAKA,MYSORE,1522,577,7
205,15,KARNATAKA,RAICHUR,1523,559,5
206,15,KARNATAKA,RAMANAGARA,1529,584,4
207,15,KARNATAKA,SHIMOGA,1524,568,7
208,15,KARNATAKA,TUMKUR,1525,571,10
209,15,KARNATAKA,UDUPI,1526,569,3
210,15,KARNATAKA,UTTARA KANNADA,1527,563,11
211,15,KARNATAKA,YADGIR,1530,580,3
212,16,KERALA,ALAPPUZHA,1611,598,12
213,16,KERALA,ERNAKULAM,1608,595,14
214,16,KERALA,IDUKKI,1609,596,8
215,16,KERALA,KANNUR,1602,589,9
216,16,KERALA,KASARGODE,1601,588,4
217,16,KERALA,KOLLAM,1613,600,11
218,16,KERALA,KOTTAYAM,1610,597,11
219,16,KERALA,KOZHIKKODE,1604,591,12
220,16,KERALA,MALAPPURAM,1605,592,14
221,16,KERALA,PALAKKAD,1606,593,13
222,16,KERALA,PATHANAMTHITTA,1612,599,8
223,16,KERALA,THIRUVANANTHAPURAM,1614,601,10
224,16,KERALA,THRISSUR,1607,594,16
225,16,KERALA,WAYANAD,1603,590,3
226,17,MADHYA PRADESH,ALIRAJPUR,1749,465,3
227,17,MADHYA PRADESH,ANUPPUR,1746,461,4
228,17,MADHYA PRADESH,ASHOK NAGAR,1748,459,4
229,17,MADHYA PRADESH,BALAGHAT,1738,457,9
230,17,MADHYA PRADESH,BARWANI,1742,441,7
231,17,MADHYA PRADESH,BETUL,1731,447,8
232,17,MADHYA PRADESH,BHIND,1702,420,6
233,17,MADHYA PRADESH,BHOPAL,1728,444,1
234,17,MADHYA PRADESH,BURHANPUR,1747,467,2
235,17,MADHYA PRADESH,CHHATARPUR,1708,425,8
236,17,MADHYA PRADESH,CHHINDWARA,1736,455,11
237,17,MADHYA PRADESH,DAMOH,1711,428,7
238,17,MADHYA PRADESH,DATIA,1704,422,3
239,17,MADHYA PRADESH,DEWAS,1720,437,6
240,17,MADHYA PRADESH,DHAR,1722,438,8
241,17,MADHYA PRADESH,DINDORI,1745,453,7
242,17,MADHYA PRADESH,GUNA,1706,458,4
243,17,MADHYA PRADESH,GWALIOR,1703,421,2
244,17,MADHYA PRADESH,HARDA,1743,448,3
245,17,MADHYA PRADESH,HOSHANGABAD,1732,449,7
246,17,MADHYA PRADESH,INDORE,1723,439,4
247,17,MADHYA PRADESH,JABALPUR,1733,451,7
248,17,MADHYA PRADESH,JHABUA,1721,464,5
