Unique_ID,state_crisil,dist_crisil,Crisil_Inclusix_Scores_16,Crisil_Inclusix_ranks_16,NIC_district_code,censuscode
199,Jharkhand,LOHARDAGA,46.9,384,3402,356
200,Jharkhand,Pakur,29.2,590,3414,353
201,Jharkhand,PALAMU,35.2,526,3405,358
202,Jharkhand,WEST SINGHBHUM,37.7,503,3408,368
203,Jharkhand,EAST SINGHBUM,79.4,82,3410,357
204,Jharkhand,Ramgarh,63,224,3423,361
205,Jharkhand,Ranchi,70.9,148,3401,364
206,Jharkhand,Sahebganj,32.9,547,3413,352
207,Jharkhand,SARAIKELA KHARSAWAN,48.2,361,3409,369
208,Jharkhand,Simdega,30.4,572,3404,367
209,Karnataka,Bagalkote,74.6,126,1501,556
212,Karnataka,Belgaum,79.9,79,1504,555
213,Karnataka,Bellary,67.9,180,1505,565
210,Karnataka,BANGALORE RURAL,82.8,67,1503,583
211,Karnataka,Bengaluru Urban,96.8,18,,
214,Karnataka,Bidar,58.5,264,1506,558
215,Karnataka,Bijapur,59.1,258,1507,557
216,Karnataka,CHAMARAJA NAGARA,77.7,96,1508,578
217,Karnataka,Chikkaballapura,67.1,185,1528,582
218,Karnataka,Chikmagalur,100,1,1509,570
219,Karnataka,Chitradurga,79.1,84,1510,566
220,Karnataka,DAKSHINA KANNADA,91.8,27,1511,575
221,Karnataka,DAVANAGERE,87,49,1512,567
222,Karnataka,DHARWAR,100,1,1513,562
223,Karnataka,Gadag,92,25,1514,561
224,Karnataka,Gulbarga,60,253,1515,579
225,Karnataka,Hassan,100,1,1516,574
226,Karnataka,Haveri,89.2,39,1517,564
227,Karnataka,Kodagu,100,1,1518,576
228,Karnataka,Kolar,64,211,1519,581
229,Karnataka,Koppal,55.3,287,1520,560
230,Karnataka,Mandya,90,35,1521,573
231,Karnataka,Mysore,90.2,34,1522,577
232,Karnataka,Raichur,63.2,221,1523,559
233,Karnataka,Ramanagara,67.6,181,1529,584
234,Karnataka,Shimoga,100,1,1524,568
235,Karnataka,Tumkur,83.5,64,1525,571
236,Karnataka,UDUPI,97.2,17,1526,569
237,Karnataka,UTTARA KANNADA,79,86,1527,563
238,Karnataka,Yadgir,52.5,312,1530,580
239,Kerala,ALAPPUZHA,100,1,1611,598
240,Kerala,Ernakulam,100,1,1608,595
241,Kerala,Idukki,89.5,38,1609,596
242,Kerala,Kannur,90.7,31,1602,589
243,Kerala,KASARGODE,90.5,33,1601,588
244,Kerala,Kollam,91.2,29,1613,600
245,Kerala,Kottayam,100,1,1610,597
246,Kerala,KOZHIKKODE,92,26,1604,591
247,Kerala,Malappuram,63.2,220,1605,592
248,Kerala,Palakkad,88.2,46,1606,593
249,Kerala,Pathanamthitta,100,1,1612,599
250,Kerala,Thiruvananthapuram,99,16,1614,601
251,Kerala,Thrissur,100,1,1607,594
252,Kerala,Wayanad,79.6,80,1603,590
253,Lakshadweep,Lakshadweep,51.3,325,,
254,Madhya Pradesh,Agar Malwa,27.8,605,,
255,Madhya Pradesh,Alirajpur,19.6,650,1749,465
256,Madhya Pradesh,Anuppur,48,366,1746,461
257,Madhya Pradesh,ASHOK NAGAR,39.5,480,1748,459
258,Madhya Pradesh,Balaghat,47.6,372,1738,457
259,Madhya Pradesh,Barwani,34.3,537,1742,441
260,Madhya Pradesh,Betul,58.7,261,1731,447
261,Madhya Pradesh,Bhind,29.8,581,1702,420
262,Madhya Pradesh,Bhopal,84.3,59,1728,444
263,Madhya Pradesh,Burhanpur,46.1,390,1747,467
264,Madhya Pradesh,Chhatarpur,37.9,500,1708,425
265,Madhya Pradesh,Chhindwara,53.5,302,1736,455
266,Madhya Pradesh,Damoh,41.6,445,1711,428
267,Madhya Pradesh,Datia,39.3,482,1704,422
268,Madhya Pradesh,Dewas,53.5,300,1720,437
269,Madhya Pradesh,Dhar,48.9,352,1722,438
270,Madhya Pradesh,Dindori,27.7,606,1745,453
271,Madhya Pradesh,East Nimar,45.6,395,1725,466
272,Madhya Pradesh,Guna,40.3,461,1706,458
273,Madhya Pradesh,Gwalior,61.8,236,1703,421
274,Madhya Pradesh,Harda,50.7,332,1743,448
275,Madhya Pradesh,Hoshangabad,64.3,206,1732,449
276,Madhya Pradesh,Indore,88.1,47,1723,439
277,Madhya Pradesh,Jabalpur,77.7,97,1733,451
278,Madhya Pradesh,Jhabua,28.5,595,1721,464
279,Madhya Pradesh,Katni,51.1,327,1744,450
280,Madhya Pradesh,Mandla,32.8,550,1735,454
281,Madhya Pradesh,Mandsaur,51.5,322,1716,433
282,Madhya Pradesh,Morena,28,602,1701,419
283,Madhya Pradesh,NARSINGHPUR,58.4,266,1734,452
284,Madhya Pradesh,Neemuch,57.9,268,1741,432
285,Madhya Pradesh,Panna,34,539,1709,426
286,Madhya Pradesh,Raisen,49.2,343,1730,446
287,Madhya Pradesh,Rajgarh,44.4,410,1726,442
288,Madhya Pradesh,Ratlam,58.6,262,1717,434
289,Madhya Pradesh,Rewa,40.1,463,1713,430
290,Madhya Pradesh,Sagar,55.6,285,1710,427
291,Madhya Pradesh,Satna,44.4,411,1712,429
292,Madhya Pradesh,Sehore,51.7,319,1729,445
293,Madhya Pradesh,Seoni,42.6,434,1737,456
294,Madhya Pradesh,Shahdol,47.3,381,1714,460
295,Madhya Pradesh,Shajapur,53.5,301,1719,436
296,Madhya Pradesh,Sheopur,29,592,1739,418
297,Madhya Pradesh,Shivpuri,27.6,609,1705,423
298,Madhya Pradesh,Sidhi,34.2,538,1715,462
299,Madhya Pradesh,SINGROLI,22.3,639,1750,463
300,Madhya Pradesh,Tikamgarh,25.2,624,1707,424
301,Madhya Pradesh,Ujjain,64.1,209,1718,435
302,Madhya Pradesh,Umaria,31.6,562,1740,431
303,Madhya Pradesh,Vidisha,45.6,396,1727,443
304,Madhya Pradesh,West Nimar,41.5,450,1724,440
305,Maharashtra,Ahmednagar,56.2,283,1809,522
306,Maharashtra,Akola,62.3,230,1823,501
307,Maharashtra,Amravati,70.4,152,1824,503
308,Maharashtra,Aurangabad,57.8,269,1815,515
309,Maharashtra,Bhandara,62.6,229,1828,506
310,Maharashtra,BEED,45.2,403,1818,523
311,Maharashtra,Buldhana,53,305,1822,500
312,Maharashtra,Chandrapur,56.4,280,1829,509
313,Maharashtra,Dhule,47.4,378,1807,498
314,Maharashtra,Gadchiroli,26.4,617,1830,508
315,Maharashtra,Gondia,47.3,380,1833,507
316,Maharashtra,Hingoli,41.3,451,1834,512
317,Maharashtra,Jalgaon,51.5,320,1808,499
318,Maharashtra,Jalna,46.3,389,1816,514
319,Maharashtra,Kolhapur,80.7,75,1814,530
320,Maharashtra,Latur,47.4,376,1821,524
321,Maharashtra,Mumbai,100,1,,
322,Maharashtra,Mumbai Suburban,63.7,216,,
323,Maharashtra,Nagpur,92.8,22,1827,505
324,Maharashtra,Nanded,48.4,356,1819,511
325,Maharashtra,Nandurbar,29.2,589,1831,497
326,Maharashtra,NASHIK,57.3,273,1806,516
327,Maharashtra,Osmanabad,49.9,339,1820,525
328,Maharashtra,Palghar,41,453,,
329,Maharashtra,Parbhani,43.2,422,1817,513
330,Maharashtra,Pune,86,53,1810,521
331,Maharashtra,Raigad,64.7,202,1803,520
332,Maharashtra,Ratnagiri,69.8,159,1804,528
333,Maharashtra,Sangli,70.2,153,1812,531
334,Maharashtra,Satara,62.7,227,1811,527
335,Maharashtra,Sindhudurg,73.2,131,1805,529
336,Maharashtra,Solapur,56.8,277,1813,526
337,Maharashtra,Thane,70.5,151,1802,517
338,Maharashtra,Wardha,81.3,73,1826,504
339,Maharashtra,Washim,43,425,1832,502
340,Maharashtra,Yavatmal,54,295,1825,510
341,Manipur,BISHNUPUR,30.3,576,2006,275
342,Manipur,Chandel,21.6,643,2004,280
343,Manipur,Churachandpur,23.5,635,2003,274
344,Manipur,Imphal East,26.2,618,2009,278
345,Manipur,Imphal West,64.4,205,2007,277
346,Manipur,Senapati,33.9,541,2001,272
347,Manipur,Tamenglong,9.6,664,2002,273
348,Manipur,Thoubal,23.6,634,2005,276
349,Manipur,Ukhrul,14.9,659,2008,279
350,Meghalaya,East Garo Hills,28.6,594,2104,294
351,Meghalaya,East Jaintia Hills,20.3,649,2101,
352,Meghalaya,East Khasi Hills,59,259,2102,298
353,Meghalaya,Jaintia Hills,31.9,558,,
354,Meghalaya,North Garo Hills,12.8,662,2110,
355,Meghalaya,Ri Bhoi,36.9,512,2107,297
356,Meghalaya,South Garo Hills,9.3,665,2106,295
357,Meghalaya,South West Garo Hills,14.1,660,2111,
358,Meghalaya,South West Khasi Hills,18.5,653,2109,
359,Meghalaya,West Garo Hills,28.4,596,2105,293
360,Meghalaya,West Khasi Hills,25.8,621,2103,296
361,Mizoram,Aizawl,54.1,294,2201,283
362,Mizoram,Champhai,38.1,496,2206,284
363,Mizoram,Kolasib,41.8,443,2205,282
364,Mizoram,Lawngtlai,31.1,566,2208,287
365,Mizoram,Lunglei,39.6,479,2202,286
366,Mizoram,Mamit,30.8,567,2204,281
367,Mizoram,Saiha,39.4,481,2203,288
368,Mizoram,Serchhip,39.8,473,2207,285
369,Nagaland,Dimapur,60.8,247,2308,265
370,Nagaland,Kiphire,15.6,658,2309,269
371,Nagaland,Kohima,46.3,388,2301,270
372,Nagaland,Longleng,21,646,2310,268
373,Nagaland,Mokokchung,44,417,2305,262
374,Nagaland,Mon,9.9,663,2307,261
375,Nagaland,PAREN,18.6,652,2311,271
376,Nagaland,Phek,13.7,661,2302,266
377,Nagaland,Tuensang,15.7,657,2306,267
378,Nagaland,Wokha,21.1,645,2304,264
379,Nagaland,Zunheboto,22.4,638,2303,263
380,Odisha,Angul,77.8,95,2421,384
381,Odisha,Baleshwar,63.8,214,2405,377
382,Odisha,Bargarh,57.1,275,2414,370
383,Odisha,Bhadrak,59.6,255,2417,378
384,Odisha,Bolangir,53.6,299,2409,393
385,Odisha,Boudh,45.2,401,2426,391
386,Odisha,Cuttack,88.3,45,2406,381
387,Odisha,Deogarh,53.1,304,2416,373
388,Odisha,Dhenkanal,64.8,201,2407,383
389,Odisha,Gajapati,50.8,330,2424,389
390,Odisha,Ganjam,67.2,184,2412,388
