"","State","District","earliest_block_date","Age","Total_HHs_Mob","Total_SHGs","RF_Eligible","RF_Provided_Num","RF_Amt","CIF_Provided_Num","CIF_Amt","Total_CIS","state_code","district_code","censuscode"
"215","KARNATAKA","RAMANAGARA",2016-03-01,2.1,5384,366,25,9,1.4,0,0,1.4,15,1529,584
"216","KARNATAKA","SHIMOGA",2016-03-01,2.1,6925,386,341,17,2.5,0,0,2.5,15,1524,568
"217","KARNATAKA","TUMKUR",2016-03-01,2.1,117828,8031,1895,1323,198.4,1792,1798.6,1997,15,1525,571
"218","KARNATAKA","UTTARA KANNADA",2016-03-01,2.1,36077,3055,1809,702,105.2,1217,935.6,1040.8,15,1527,563
"219","KARNATAKA","YADGIR",2016-03-01,2.1,2148,151,13,13,2,0,0,2,15,1530,580
"220","KERALA","ALAPPUZHA",2013-03-21,5.1,273575,18054,17917,133,19.6,112,47.8,67.4,16,1611,598
"221","KERALA","ERNAKULAM",2013-03-21,5.1,257694,18208,16471,616,90,218,70.8,160.8,16,1608,595
"222","KERALA","IDUKKI",2012-08-17,5.6,163885,12149,12191,70,10.2,177,88.5,98.7,16,1609,596
"223","KERALA","KANNUR",2013-03-21,5.1,289847,17599,17504,197,12.9,66,32,44.9,16,1602,589
"224","KERALA","KASARGODE",2013-03-21,5.1,161941,9752,9380,342,51.3,80,40,91.3,16,1601,588
